Quantity;Channel;Unit;Ident;ReadOut;DataType;Size;ReadFunctionCode;ReadAddress;WriteFunctionCode;WriteAddress;Factor;VariableType;VariableProfile
Energy;Total Import;kWh;ENERGY__TOTAL_IMPORT;1;UINT64;4;3;20480;0;0;0.01;2;~Electricity
Energy;Total Export;kWh;ENERGY__TOTAL_EXPORT;1;UINT64;4;3;20484;0;0;0.01;2;~Electricity
Energy;Total Net;kWh;ENERGY__TOTAL_NET;;INT64;4;3;20488;0;0;0.01;2;~Electricity
Reactive Energy;Total Import;kVarh;REACTIVE_ENERGY__TOTAL_IMPORT;;UINT64;4;3;20492;0;0;0.01;2;kVarh
Reactive Energy;Total Export;kVarh;REACTIVE_ENERGY__TOTAL_EXPORT;;UINT64;4;3;20496;0;0;0.01;2;kVarh
Reactive Energy;Total Net;kVarh;REACTIVE_ENERGY__TOTAL_NET;;INT64;4;3;20500;0;0;0.01;2;kVarh
Apparent Energy;Total Import;kVAh;APPARENT_ENERGY__TOTAL_IMPORT;;UINT64;4;3;20504;0;0;0.01;2;kVAh
Apparent Energy;Total Export;kVAh;APPARENT_ENERGY__TOTAL_EXPORT;;UINT64;4;3;20508;0;0;0.01;2;kVAh
Apparent Energy;Total Net;kVAh;APPARENT_ENERGY__TOTAL_NET;;INT64;4;3;20512;0;0;0.01;2;kVAh
CO2;Import;kg;CO2__IMPORT;;UINT64;4;3;20516;0;0;0.001;2;kg
Currency;Import;currency;CURRENCY__IMPORT;;UINT64;4;3;20532;0;0;0.001;2;~Euro
Energy;Total Import Tariff 1;kWh;ENERGY__TOTAL_IMPORT_TARIFF_1;;UINT64;4;3;20848;0;0;0.01;2;~Electricity
Energy;Total Import Tariff 2;kWh;ENERGY__TOTAL_IMPORT_TARIFF_2;;UINT64;4;3;20852;0;0;0.01;2;~Electricity
Energy;Total Import Tariff 3;kWh;ENERGY__TOTAL_IMPORT_TARIFF_3;;UINT64;4;3;20856;0;0;0.01;2;~Electricity
Energy;Total Import Tariff 4;kWh;ENERGY__TOTAL_IMPORT_TARIFF_4;;UINT64;4;3;20860;0;0;0.01;2;~Electricity
Energy;Total Export Tariff 1;kWh;ENERGY__TOTAL_EXPORT_TARIFF_1;;UINT64;4;3;20880;0;0;0.01;2;~Electricity
Energy;Total Export Tariff 2;kWh;ENERGY__TOTAL_EXPORT_TARIFF_2;;UINT64;4;3;20884;0;0;0.01;2;~Electricity
Energy;Total Export Tariff 3;kWh;ENERGY__TOTAL_EXPORT_TARIFF_3;;UINT64;4;3;20888;0;0;0.01;2;~Electricity
Energy;Total Export Tariff 4;kWh;ENERGY__TOTAL_EXPORT_TARIFF_4;;UINT64;4;3;20892;0;0;0.01;2;~Electricity
Reactive Energy;Total Import Tariff 1;kVarh;REACTIVE_ENERGY__TOTAL_IMPORT_TARIFF_1;;UINT64;4;3;20912;0;0;0.01;2;kVarh
Reactive Energy;Total Import Tariff 2;kVarh;REACTIVE_ENERGY__TOTAL_IMPORT_TARIFF_2;;UINT64;4;3;20916;0;0;0.01;2;kVarh
Reactive Energy;Total Import Tariff 3;kVarh;REACTIVE_ENERGY__TOTAL_IMPORT_TARIFF_3;;UINT64;4;3;20920;0;0;0.01;2;kVarh
Reactive Energy;Total Import Tariff 4;kVarh;REACTIVE_ENERGY__TOTAL_IMPORT_TARIFF_4;;UINT64;4;3;20924;0;0;0.01;2;kVarh
Reactive Energy;Total Export Tariff 1;kVarh;REACTIVE_ENERGY__TOTAL_EXPORT_TARIFF_1;;UINT64;4;3;20944;0;0;0.01;2;kVarh
Reactive Energy;Total Export Tariff 2;kVarh;REACTIVE_ENERGY__TOTAL_EXPORT_TARIFF_2;;UINT64;4;3;20948;0;0;0.01;2;kVarh
Reactive Energy;Total Export Tariff 3;kVarh;REACTIVE_ENERGY__TOTAL_EXPORT_TARIFF_3;;UINT64;4;3;20952;0;0;0.01;2;kVarh
Reactive Energy;Total Export Tariff 4;kVarh;REACTIVE_ENERGY__TOTAL_EXPORT_TARIFF_4;;UINT64;4;3;20956;0;0;0.01;2;kVarh
Energy;L1 Import;kWh;ENERGY__L1_IMPORT;1;UINT64;4;3;21600;0;0;0.01;2;~Electricity
Energy;L2 Import;kWh;ENERGY__L2_IMPORT;1;UINT64;4;3;21604;0;0;0.01;2;~Electricity
Energy;L3 Import;kWh;ENERGY__L3_IMPORT;1;UINT64;4;3;21608;0;0;0.01;2;~Electricity
Energy;L1 Export;kWh;ENERGY__L1_EXPORT;1;UINT64;4;3;21612;0;0;0.01;2;~Electricity
Energy;L2 Export;kWh;ENERGY__L2_EXPORT;1;UINT64;4;3;21616;0;0;0.01;2;~Electricity
Energy;L3 Export;kWh;ENERGY__L3_EXPORT;1;UINT64;4;3;21620;0;0;0.01;2;~Electricity
Energy;L1 Net;kWh;ENERGY__L1_NET;;INT64;4;3;21624;0;0;0.01;2;~Electricity
Energy;L2 Net;kWh;ENERGY__L2_NET;;INT64;4;3;21628;0;0;0.01;2;~Electricity
Energy;L3 Net;kWh;ENERGY__L3_NET;;INT64;4;3;21632;0;0;0.01;2;~Electricity
Reactive Energy;L1 Import;kVarh;REACTIVE_ENERGY__L1_IMPORT;;UINT64;4;3;21636;0;0;0.01;2;kVarh
Reactive Energy;L2 Import;kVarh;REACTIVE_ENERGY__L2_IMPORT;;UINT64;4;3;21640;0;0;0.01;2;kVarh
Reactive Energy;L3 Import;kVarh;REACTIVE_ENERGY__L3_IMPORT;;UINT64;4;3;21644;0;0;0.01;2;kVarh
Reactive Energy;L1 Export;kVarh;REACTIVE_ENERGY__L1_EXPORT;;UINT64;4;3;21648;0;0;0.01;2;kVarh
Reactive Energy;L2 Export;kVarh;REACTIVE_ENERGY__L2_EXPORT;;UINT64;4;3;21652;0;0;0.01;2;kVarh
Reactive Energy;L3 Export;kVarh;REACTIVE_ENERGY__L3_EXPORT;;UINT64;4;3;21656;0;0;0.01;2;kVarh
Reactive Energy;L1 Net;kVarh;REACTIVE_ENERGY__L1_NET;;INT64;4;3;21660;0;0;0.01;2;kVarh
Reactive Energy;L2 Net;kVarh;REACTIVE_ENERGY__L2_NET;;INT64;4;3;21664;0;0;0.01;2;kVarh
Reactive Energy;L3 Net;kVarh;REACTIVE_ENERGY__L3_NET;;INT64;4;3;21668;0;0;0.01;2;kVarh
Apparent Energy;L1 Import;kVAh;APPARENT_ENERGY__L1_IMPORT;;UINT64;4;3;21672;0;0;0.01;2;kVAh
Apparent Energy;L2 Import;kVAh;APPARENT_ENERGY__L2_IMPORT;;UINT64;4;3;21676;0;0;0.01;2;kVAh
Apparent Energy;L3 Import;kVAh;APPARENT_ENERGY__L3_IMPORT;;UINT64;4;3;21680;0;0;0.01;2;kVAh
Apparent Energy;L1 Export;kVAh;APPARENT_ENERGY__L1_EXPORT;;UINT64;4;3;21684;0;0;0.01;2;kVAh
Apparent Energy;L2 Export;kVAh;APPARENT_ENERGY__L2_EXPORT;;UINT64;4;3;21688;0;0;0.01;2;kVAh
Apparent Energy;L3 Export;kVAh;APPARENT_ENERGY__L3_EXPORT;;UINT64;4;3;21692;0;0;0.01;2;kVAh
Apparent Energy;L1 Net;kVAh;APPARENT_ENERGY__L1_NET;;INT64;4;3;21696;0;0;0.01;2;kVAh
Apparent Energy;L2 Net;kVAh;APPARENT_ENERGY__L2_NET;;INT64;4;3;21700;0;0;0.01;2;kVAh
Apparent Energy;L3 Net;kVAh;APPARENT_ENERGY__L3_NET;;INT64;4;3;21704;0;0;0.01;2;kVAh
Energy;Import Resettable;kWh;ENERGY__IMPORT_RESETTABLE;;UINT64;4;3;21804;0;0;0.01;2;~Electricity
Energy;Export Resettable;kWh;ENERGY__EXPORT_RESETTABLE;;UINT64;4;3;21808;0;0;0.01;2;~Electricity
Reactive Energy;Import Resettable;kWh;REACTIVE_ENERGY__IMPORT_RESETTABLE;;UINT64;4;3;21812;0;0;0.01;2;~Electricity
Reactive Energy;Export Resettable;kWh;REACTIVE_ENERGY__EXPORT_RESETTABLE;;UINT64;4;3;21816;0;0;0.01;2;~Electricity
Voltage;L1-N;V;VOLTAGE__L1_N;;UINT32;2;3;23296;0;0;0.1;2;~Volt.230
Voltage;L2-N;V;VOLTAGE__L2_N;;UINT32;2;3;23298;0;0;0.1;2;~Volt.230
Voltage;L3-N;V;VOLTAGE__L3_N;;UINT32;2;3;23300;0;0;0.1;2;~Volt.230
Voltage;L1-l2;V;VOLTAGE__L1_L2;;UINT32;2;3;23302;0;0;0.1;2;~Volt.230
Voltage;L3-l2;V;VOLTAGE__L3_L2;;UINT32;2;3;23304;0;0;0.1;2;~Volt.230
Voltage;L1-l3;V;VOLTAGE__L1_L3;;UINT32;2;3;23306;0;0;0.1;2;~Volt.230
Current;L1;A;CURRENT__L1;;UINT32;2;3;23308;0;0;0.01;2;~Ampere
Current;L2;A;CURRENT__L2;;UINT32;2;3;23310;0;0;0.01;2;~Ampere
Current;L3;A;CURRENT__L3;;UINT32;2;3;23312;0;0;0.01;2;~Ampere
Current;N;A;CURRENT__N;;UINT32;2;3;23314;0;0;0.01;2;~Ampere
Power;Total;W;POWER__TOTAL;1;INT32;2;3;23316;0;0;0.01;2;~Watt.14490
Power;L1;W;POWER__L1;1;INT32;2;3;23318;0;0;0.01;2;~Watt.14490
Power;L2;W;POWER__L2;1;INT32;2;3;23320;0;0;0.01;2;~Watt.14490
Power;L3;W;POWER__L3;1;INT32;2;3;23322;0;0;0.01;2;~Watt.14490
Reactive Power;Total;Var;REACTIVE_POWER__TOTAL;;INT32;2;3;23324;0;0;0.01;2;Var
Reactive Power;L1;Var;REACTIVE_POWER__L1;;INT32;2;3;23326;0;0;0.01;2;Var
Reactive Power;L2;Var;REACTIVE_POWER__L2;;INT32;2;3;23328;0;0;0.01;2;Var
Reactive Power;L3;Var;REACTIVE_POWER__L3;;INT32;2;3;23330;0;0;0.01;2;Var
Apparent Power;Total;VA;APPARENT_POWER__TOTAL;;INT32;2;3;23332;0;0;0.01;2;VA
Apparent Power;L1;VA;APPARENT_POWER__L1;;INT32;2;3;23334;0;0;0.01;2;VA
Apparent Power;L2;VA;APPARENT_POWER__L2;;INT32;2;3;23336;0;0;0.01;2;VA
Apparent Power;L3;VA;APPARENT_POWER__L3;;INT32;2;3;23338;0;0;0.01;2;VA
Frequency;Total;Hz;FREQUENCY__TOTAL;1;UINT16;1;3;23340;0;0;0.01;2;~Hertz.50
Phase Angle;Power Total;°;PHASE_ANGLE__POWER_TOTAL;;INT16;1;3;23341;0;0;0.01;2;PhaseAngle
Phase Angle;Power L1;°;PHASE_ANGLE__POWER_L1;;INT16;1;3;23342;0;0;0.01;2;PhaseAngle
Phase Angle;Power L2;°;PHASE_ANGLE__POWER_L2;;INT16;1;3;23343;0;0;0.01;2;PhaseAngle
Phase Angle;Power L3;°;PHASE_ANGLE__POWER_L3;;INT16;1;3;23344;0;0;0.01;2;PhaseAngle
Phase Angle;Voltage L1 Voltage L1;°;PHASE_ANGLE__VOLTAGE_L1_VOLTAGE_L1;;INT16;1;3;23345;0;0;0.01;2;PhaseAngle
Phase Angle;Voltage L2 Voltage L1;°;PHASE_ANGLE__VOLTAGE_L2_VOLTAGE_L1;;INT16;1;3;23346;0;0;0.01;2;PhaseAngle
Phase Angle;Voltage L3 Voltage L1;°;PHASE_ANGLE__VOLTAGE_L3_VOLTAGE_L1;;INT16;1;3;23347;0;0;0.01;2;PhaseAngle
Phase Angle;Current L1 Voltage L1;°;PHASE_ANGLE__CURRENT_L1_VOLTAGE_L1;;INT16;1;3;23351;0;0;0.01;2;PhaseAngle
Phase Angle;Current L2 Voltage L1;°;PHASE_ANGLE__CURRENT_L2_VOLTAGE_L1;;INT16;1;3;23352;0;0;0.01;2;PhaseAngle
Phase Angle;Current L3 Voltage L1;°;PHASE_ANGLE__CURRENT_L3_VOLTAGE_L1;;INT16;1;3;23353;0;0;0.01;2;PhaseAngle
Power Factor;Total;;POWER_FACTOR__TOTAL;;INT16;1;3;23354;0;0;0.001;2;
Power Factor;L1;;POWER_FACTOR__L1;;INT16;1;3;23355;0;0;0.001;2;
Power Factor;L2;;POWER_FACTOR__L2;;INT16;1;3;23356;0;0;0.001;2;
Power Factor;L3;;POWER_FACTOR__L3;;INT16;1;3;23357;0;0;0.001;2;
Current Quadrant;Total;;CURRENT_QUADRANT__TOTAL;;UINT16;1;3;23358;0;0;0;1;
Current Quadrant;L1;;CURRENT_QUADRANT__L1;;UINT16;1;3;23359;0;0;0;1;
Current Quadrant;L2;;CURRENT_QUADRANT__L2;;UINT16;1;3;23360;0;0;0;1;
Current Quadrant;L3;;CURRENT_QUADRANT__L3;;UINT16;1;3;23361;0;0;0;1;
IO;Output 1;;IO__OUTPUT_1;;UINT16;1;3;25344;6;6300;0;1;
IO;Output 2;;IO__OUTPUT_2;;UINT16;1;3;25345;6;6301;0;1;
IO;Input 1;;IO__INPUT_1;;UINT16;1;3;25352;0;0;0;1;
IO;Input 2;;IO__INPUT_2;;UINT16;1;3;25353;0;0;0;1;
IO;Input 3;;IO__INPUT_3;;UINT16;1;3;25360;0;0;0;1;
IO;Input 4;;IO__INPUT_4;;UINT16;1;3;25361;0;0;0;1;
IO;Input 5;;IO__INPUT_5;;UINT64;4;3;25368;0;0;0;1;
IO;Input 6;;IO__INPUT_6;;UINT64;4;3;25372;0;0;0;1;
